Company,Title,Price,Volume,High,Low
Regal Beloit,RBC,73.35,"1,450,466",73.95,69.00
Regalwood Gl Energy Cl A,RWGE,9.70,"6,695",9.78,9.70
Regalwood Gl Energy Un,RWGE.U,10.08,"7,891",10.10,10.00
Regalwood Gl Energy Wt,RWGE.WS,1.10,"156,000",1.10,.98
Regency Centers,REG,58.98,"5,090,570",59.52,55.60
Regional Management,RM,31.84,"290,610",32.23,30.69
Regions Financial,RF,18.58,"51,421,397",18.98,17.97
Regions Finl Dep Pfd B,RF.PB,27.81,"98,862",27.84,27.51
Regions Fin Dep. Pfd. A,RF.PA,25.48,"65,874",25.48,25.38
Regis Corp,RGS,15.13,"762,928",15.62,14.66
Reinsurance Grp America,RGA,154.00,"2,739,909",158.96,152.38
Reinsurance Grp Deb 2056,RZB,26.32,"157,725",26.44,26.25
Reinsurance Grp 6.2% Deb,RZA,28.31,"79,972",28.43,27.92
Reliance Steel,RS,85.74,"2,323,139",86.41,82.71
RELX ADR,RENX,20.79,"885,080",20.83,20.20
RELX ADR,RELX,20.89,"1,072,837",20.92,20.38
RE/MAX Holdings Cl A,RMAX,60.45,"440,943",61.25,57.30
Renaissance Intl IPO ETF,IPOS,25.27,"1,857",25.85,25.27
Renaissance IPO ETF,IPO,28.71,"21,234",29.00,27.94
RenaissanceRe Hldgs 6.08%,RNR.PC,25.50,"22,908",25.50,25.24
RenaissanceRe Hldgs,RNR,138.51,"994,466",138.77,133.42
RenaissanceRe Pfd. E,RNR.PE,24.94,"57,151",24.94,24.57
ReneSola ADR,SOL,2.56,"143,092",2.68,2.47
Renren A ADR,RENN,8.40,"796,405",8.91,8.22
Republic Services,RSG,66.23,"7,239,900",67.00,65.54
ResMed,RMD,98.47,"2,362,033",99.06,95.14
Resolute Energy,REN,34.65,"1,284,474",34.97,32.44
Resolute Forest Products,RFP,8.30,"1,164,459",8.65,7.80
Resource Capital,RSO,9.51,"981,429",9.58,9.28
Resource Cap Pfd. C,RSO.PC,25.30,"160,169",25.75,25.17
Restaurant Brands Intl,QSR,56.92,"5,726,528",58.41,55.12
Retail Prop of America,RPAI,11.66,"8,051,162",11.83,11.19
REV Group,REVG,20.76,"3,065,187",21.47,20.48
Revlon Cl A,REV,20.60,"254,354",21.40,19.90
Rex American Resources,REX,72.80,"310,474",77.55,70.48
Rexford Industrial Realty,REXR,28.79,"2,694,802",29.17,27.84
Rexford Ind Realty Pfd. B,REXR.PB,24.35,"34,398",24.35,23.53
Rexford Ind Realty Pfd. A,REXR.PA,23.97,"15,117",24.08,23.20
REX Gold Hedged S&P; 500,GHS,32.14,"2,011",33.48,32.14
Rexnord Corp,RXN,29.68,"2,022,855",29.82,28.91
Rexnord Pfd. A,RXN.PA,64.28,"3,705",64.28,63.36
RH,RH,95.28,"12,659,086",96.78,74.70
Rice Midstream Partners,RMP,18.10,"1,869,346",18.44,17.37
RingCentral Cl A,RNG,63.50,"3,129,384",68.80,61.35
Rio Tinto ADR,RIO,51.53,"12,466,947",52.17,49.69
Ritchie Bros,RBA,31.47,"3,045,071",31.66,30.37
Rite Aid,RAD,1.68,"123,039,765",1.69,1.47
RiverFront Dyn Core Incm,RFCI,24.07,"78,258",24.07,23.85
RiverFront Dyn Uncon Incm,RFUN,25.25,"16,923",25.33,25.18
RiverFront Dyn US Div Adv,RFDA,31.31,"37,727",32.66,30.74
RiverFront Dyn US FlexCap,RFFC,32.09,"54,044",32.57,31.62
RiverFront Strat Incm Fd,RIGS,24.59,"170,009",24.63,24.35
RiverNorth Double Strat,OPP,17.81,"196,733",17.93,17.60
RiverNorth Mkt Pfd. A,RMPL.P,25.18,"12,185",25.20,25.07
Rivernorth Opps Fund,RIV,20.35,"129,813",20.66,20.24
RLI Corp,RLI,63.39,"539,850",64.24,61.62
RLJ Lodging Trust,RLJ,19.44,"7,662,497",19.75,18.75
RLJ Lodging $1.95 Pfd A,RLJ.PA,25.38,"171,724",25.83,25.25
Roadrunner Trans Sys,RRTS,2.54,"2,534,006",3.36,2.54
Robert Half International,RHI,57.89,"5,499,771",58.45,55.69
Rockwell Automation,ROK,174.20,"4,438,947",178.14,172.44
Rockwell Collins,COL,134.85,"5,183,887",136.65,134.79
Rogers Commun,RCI,44.68,"1,278,531",44.72,43.11
Rogers Corp,ROG,119.54,"940,449",127.06,117.01
Rollins Inc,ROL,51.03,"1,919,091",51.93,50.05
Roper Technologies,ROP,280.69,"1,366,180",284.49,275.03
Rosetta Stone,RST,13.15,"517,242",13.54,12.85
Rowan Cos,RDC,11.54,"10,413,644",12.30,10.94
Royal Bank of Canada,RY,77.29,"3,298,550",78.11,76.08
Royal Bank of Canada PfC2,RY.PT,29.50,"1,143",29.70,29.50
Royal Bk of Scotland ADR,RBS,7.40,"3,680,850",7.55,7.26
Royal Bk Scotland Pfd S,RBS.PS,25.59,"176,418",25.59,25.39
Royal Caribbean Cruises,RCL,117.74,"4,243,720",121.24,115.94
Royal Dutch Shell ADR A,RDS.A,63.81,"17,009,588",65.13,63.07
Royal Dutch Shell ADR B,RDS.B,65.53,"7,296,168",66.66,64.78
Royce Global Value Trust,RGT,10.97,"136,549",11.00,10.80
Royce Micro-Cap,RMT,9.36,"483,765",9.44,9.20
Royce Value Trust,RVT,15.56,"1,257,993",15.60,15.17
RPC,RES,18.03,"7,528,543",18.72,16.97
RPM Intl,RPM,47.67,"4,908,199",48.05,47.02
R.R. Donnelley&Sons;,RRD,8.73,"3,213,008",8.94,8.47
RSP Permian,RSPP,46.88,"55,715,713",47.17,37.46
Rubicon Project,RUBI,1.80,"3,295,959",1.99,1.75
Rudolph Technologies,RTEC,27.70,"1,071,919",29.30,26.86
RYB Education ADR,RYB,16.66,"992,679",17.73,16.13
Ryder System,R,72.79,"1,914,051",73.44,69.48
Ryerson Holding,RYI,8.15,"1,636,211",8.45,7.85
Ryman Hospitality Prop,RHP,77.45,"1,485,278",78.20,73.69
Sabine Royalty Tr UBI,SBR,43.95,"73,775",44.55,42.26
Safe Bulkers,SB,3.17,"2,645,564",3.42,2.92
Safe Bulkers 8% Pfd. C,SB.PC,23.30,"11,287",23.30,22.75
Safe Bulkers Perp. Pfd. D,SB.PD,23.00,"11,293",23.25,22.95
Safeguard Scientifics,SFE,12.25,"285,342",12.80,12.25
Safety Income&Growth;,SAFE,15.99,"368,307",16.75,15.64
SailPoint Technologies,SAIL,20.69,"2,388,257",21.49,19.50
Salesforce.com,CRM,116.30,"35,615,916",120.16,111.34
Salient Midstream&MLP;,SMM,9.10,"331,109",9.13,8.78
Sally Beauty Hldgs,SBH,16.45,"5,942,025",16.65,15.57
Sanchez Energy,SN,3.13,"10,164,710",3.40,2.95
S&P; Global,SPGI,191.06,"6,592,917",193.20,184.81
SandRidge Energy,SD,14.51,"1,113,782",14.62,13.81
SandRidge Mississip Tr,SDT,.78,"257,966",.80,.75
SandRidge Miss Tr II,SDR,.97,"293,238",.99,.95
SandRidge Permian Trust,PER,1.90,"1,218,937",2.00,1.80
San Juan Basin Royalty Tr,SJT,7.90,"1,200,767",8.76,7.77
Sanofi ADR,SNY,40.08,"6,279,258",40.28,39.17
Santander Consumer USA,SC,16.30,"7,783,574",16.47,15.85
Santander Hldgs dep shs,SOV.PC,25.96,"2,588",25.96,25.96
SAP ADR,SAP,105.16,"3,156,857",105.84,102.42
Saratoga Investment,SAR,20.81,"32,771",21.05,20.52
Saratoga Invt Nts 2023,SAB,25.85,"5,658",25.85,25.60
Sasol ADR,SSL,34.03,"735,133",34.19,32.87
STRNS J.C. Penney,HJV,11.75,"35,812",12.27,11.70
Saul Centers,BFS,50.97,"150,811",51.63,49.00
Saul Centers Pfd C,BFS.PC,25.00,"15,643",25.46,24.95
Saul Centers Pfd. D,BFS.PD,23.47,"77,975",24.22,23.17
Scana Corp,SCG,37.55,"7,785,837",38.25,35.36
SCE Tr III 5.75% Pfd,SCE.PH,26.60,"25,785",26.62,26.31
SCE Tr II Tr 5.10% Pfd.,SCE.PG,23.10,"262,209",23.28,22.86
SCE Trust IV Pfd. J,SCE.PJ,25.70,"44,362",25.78,25.30
SCE V 4.45% Pfd. Series K,SCE.PK,25.99,"51,968",25.99,25.66
SCE Tr VI 5% Pfd. L,SCE.PL,22.64,"323,776",22.87,22.57
Schlumberger,SLB,64.78,"28,490,870",66.09,62.67
Schneider National,SNDR,26.06,"3,009,951",27.00,24.88
Charles Schwab,SCHW,52.22,"29,132,567",53.49,50.02
Schwab Emerg Mkts Eqty,SCHE,28.70,"4,200,659",28.98,28.03
Schwab Fund Emg Mkt Lrg,FNDE,31.19,"1,000,967",31.35,30.48
Schwab Fund Intl Large Co,FNDF,29.98,"1,301,347",30.06,29.35
Schwab Fund Intl Small Co,FNDC,35.82,"543,660",35.96,35.14
Schwab Fund US Broad Mkt,FNDB,36.21,"62,461",36.36,35.54
Schwab Fund US Lrg Co,FNDX,36.34,"1,440,531",36.59,35.72
Schwab Fund US Small Co,FNDA,37.24,"828,542",37.44,36.60
Schwab Intm US Trsr,SCHR,52.59,"405,812",52.60,52.31
Schwab Intl Eqty,SCHF,33.71,"10,439,760",33.81,33.01
Schwab Int'l SCap Eqty,SCHC,36.51,"595,941",36.65,35.94
Schwab 1000 Index ETF,SCHK,26.00,"529,157",26.28,25.54
Schwab Short Trm US Trsr,SCHO,49.84,"1,110,355",49.85,49.78
Schwab US Aggregate Bond,SCHZ,51.02,"1,349,041",51.05,50.73
Schwab US Broad Mkt,SCHB,63.79,"5,353,896",64.54,62.67
Schwab US Dividend Equity,SCHD,49.03,"4,990,122",49.23,47.92
Schwab US Large Cap,SCHX,63.08,"5,061,877",63.85,61.92
Schwab U.S LC Growth,SCHG,71.71,"2,153,121",72.97,70.12
Schwab U.S. LgCp Value,SCHV,52.84,"1,658,490",53.21,51.88
Schwab U.S. Mid-Cap,SCHM,52.88,"1,449,396",53.19,51.97
Schwab U.S. REIT,SCHH,38.25,"2,784,596",38.48,36.75
Schwab US Small Cap,SCHA,69.13,"1,361,246",69.83,67.97
Schwab U.S. TIPs,SCHP,54.88,"807,724",54.98,54.58
Schweitzer-Mauduit Intl,SWM,39.15,"636,742",39.57,38.27
Science Applications Intl,SAIC,78.80,"1,255,333",79.53,73.04
Scorpio Bulkers,SALT,7.05,"1,558,538",7.43,6.80
Scorpio Bulkers Nts 2019,SLTB,25.45,"11,035",25.50,25.26
Scorpio Tankers,STNG,1.96,"19,577,861",2.09,1.92
Scorpio Tankers Nt 051520,SBNA,23.90,"32,716",24.34,23.65
Scorpio Tankers Nt 060119,SBBC,24.74,"19,496",24.99,24.70
Scotts Miracle-Gro,SMG,85.75,"1,848,729",86.95,83.63
EW Scripps Co,SSP,11.99,"1,823,698",12.42,11.74
Seabridge Gold,SA,10.80,"1,172,109",11.47,10.55
SEACOR Holdings,CKH,51.10,"503,533",52.03,48.99
SEACOR Marine,SMHI,19.02,"373,130",19.60,18.00
SeaDrill,SDRL,.20,"10,163,295",.24,.20
Seadrill Partners,SDLP,2.75,"1,290,576",3.01,2.70
Sealed Air,SEE,42.79,"7,987,838",43.11,41.54
Sea ADR,SE,11.27,"3,034,067",11.36,10.67
Seaspan,SSW,6.68,"4,361,988",6.75,6.33
Seaspan 6.375% Nts 2019,SSWN,25.44,"145,146",25.48,25.38
Seaspan 7.125% Nts 2027,SSWA,23.56,"53,348",23.70,23.50
Seaspan Pfd. Series H,SSW.PH,23.15,"88,488",23.25,23.00
Seaspan 8.2% Pfd. G,SSW.PG,23.89,"62,471",24.00,23.70
Seaspan Pfd. Series E,SSW.PE,24.25,"34,511",24.34,24.06
Seaspan 7.95% Pfd. D,SSW.PD,23.75,"35,434",23.91,23.56
SeaWorld Entertainment,SEAS,14.83,"5,468,361",15.02,14.06
Select Energy Svcs Cl A,WTTR,12.62,"1,532,111",12.79,11.77
Selective Ins Grp Nt 2043,SGZA,25.18,"50,806",25.28,25.10
Select Medical Holdings,SEM,17.25,"2,089,383",18.15,17.20
Semgroup A,SEMG,21.40,"3,572,668",21.73,20.20
Semiconductor Mfg ADR,SMI,6.60,"1,447,579",6.82,6.30
Sempra Energy,SRE,111.22,"6,034,542",112.48,108.29
Sempra Engy 6% Pfd. A,SRE.PA,102.37,"1,073,829",104.46,101.47
SendGrid,SEND,28.14,"774,879",30.88,27.00
Sensata Techs Hldg,ST,51.83,"3,272,870",52.19,49.48
Sensient Technologies,SXT,70.58,"1,460,354",70.77,68.21
Sequans Comms ADR,SQNS,1.68,"629,800",1.72,1.58
SerenityShares Impact ETF,ICAN,26.78,"2,018",26.95,26.42
Seritage Growth 7% Pfd. A,SRG.PA,21.51,"47,415",22.67,21.51
Seritage Growth Prop Cl A,SRG,35.55,"1,279,035",36.23,34.61
Service Corp Intl,SCI,37.74,"3,933,270",38.17,37.00
ServiceMaster Global,SERV,50.85,"2,599,722",51.51,50.17
ServiceNow,NOW,165.45,"9,401,378",173.38,157.16
Shake Shack Cl A,SHAK,41.63,"1,860,353",42.35,40.31
Shaw Communications B,SJR,19.26,"3,419,913",19.46,18.59
Shell Midstream Partners,SHLX,21.05,"3,062,691",21.34,20.08
Sherwin-Williams,SHW,392.12,"2,044,194",398.54,384.69
Shinhan Financial ADR,SHG,42.40,"574,528",42.66,41.27
Ship Fin Intl,SFL,14.30,"1,944,245",14.55,14.13
Shopify Cl A,SHOP,124.59,"14,698,545",147.82,118.57
Shutterstock,SSTK,48.15,"1,337,527",50.68,46.62
Sibanye-Stillwater ADR,SBGL,3.99,"10,583,721",4.16,3.97
Signet Jewelers,SIG,38.52,"8,565,124",39.46,37.20
SilverBow Resources,SBOW,29.10,"86,411",29.20,28.18
Simon Property Group,SPG,154.35,"9,188,902",157.29,147.28
Simon Property Pfd J,SPG.PJ,71.61,"3,566",71.61,68.02
Simpson Manufacturing,SSD,57.59,"871,907",57.95,56.23
SINOPEC Shanghai ADR,SHI,61.32,"100,428",61.92,60.26
SiteOne Landscape Supply,SITE,77.04,"1,511,955",77.49,72.14
Sit Rising Rate ETF,RISE,24.43,"18,019",24.57,24.28
Six Flags Entertainment,SIX,62.26,"4,123,489",62.64,59.79
SJW Group,SJW,52.71,"383,169",53.85,51.97
Skechers USA Cl A,SKX,38.89,"6,504,542",39.23,38.17
SK Telecom ADR,SKM,24.17,"2,840,313",24.27,23.11
SL Green Realty,SLG,96.83,"3,150,988",98.23,92.42
SL Green Realty Pfd. I,SLG.PI,25.49,"50,665",25.92,25.25
Smart&Final; Stores,SFS,5.55,"3,190,684",6.00,5.20
SM Energy,SM,18.03,"16,903,877",19.49,17.33
Smith&Nephew; ADR,SNN,38.15,"5,338,433",38.72,37.44
AO Smith,AOS,63.59,"3,879,666",64.48,62.01
JM Smucker,SJM,124.01,"4,605,438",125.50,119.33
Snap,SNAP,15.87,"74,371,471",16.75,15.55
Snap-On,SNA,147.54,"3,057,586",149.75,145.67
Social Cap Hedosophia,IPOA.U,10.57,"143,460",10.63,10.46
Social Cap Hedosophia,IPOA,10.03,"231,692",10.10,10.01
Social Cap Hedosophia Wt,IPOA.WS,1.66,"6,644",1.70,1.58
Sociedad Quimica ADR,SQM,49.15,"4,381,038",49.37,46.50
Sogou ADR,SOGO,8.25,"6,709,728",8.72,8.11
Solaris Oilfield A,SOI,16.56,"1,304,289",17.56,15.92
Sonic Automotive Cl A,SAH,18.95,"1,323,403",19.10,17.90
Sonoco Products,SON,48.50,"2,468,778",48.58,46.96
Sony ADR,SNE,48.34,"7,339,153",49.23,47.55
Sotheby's,BID,51.31,"1,752,108",52.02,49.98
Source Capital,SOR,39.90,"56,858",40.24,39.21
Southcross Engy Partners,SXE,1.63,"1,300,007",1.63,1.44
Southern,SO,44.66,"21,779,158",45.05,43.07
Southern 5.25% Nts 2017B,SOJC,24.30,"338,623",24.40,24.14
Southern 5.25% Nts 2016A,SOJB,24.59,"228,369",25.09,24.49
Southern 6.25% Nts 2015A,SOJA,26.66,"157,668",26.66,26.11
Southern Copper,SCCO,54.18,"3,666,475",54.57,52.16
South Jersey Indus,SJI,28.16,"2,323,011",28.50,26.73
Southwest Airlines,LUV,57.28,"17,545,175",57.95,55.87
Southwestern Energy,SWN,4.33,"65,240,575",4.50,4.19
Southwest Gas Holdings,SWX,67.63,"1,181,960",68.50,65.20
Sparton Corp,SPA,17.41,"337,177",17.50,17.14
SPDR Blackstone Sr Loan,SRLN,47.42,"1,874,804",47.45,47.36
SPDR Bloomberg Conv Secs,CWB,51.66,"5,715,678",52.75,50.98
SPDR Bloomberg EM Loc Bd,EBND,30.38,"715,669",30.39,30.08
SPDR Bloomberg HY Bd,JNK,35.85,"53,036,280",35.91,35.69
SPDR Bloomberg Interm Tr,ITE,58.81,"356,154",58.87,58.62
SPDR Bloomberg Intl Cp Bd,IBND,36.01,"345,226",36.45,35.83
SPDR Bloomberg Int Tr Bd,BWX,29.51,"2,249,825",29.72,29.38
SPDR Bloomberg Inv Grd FR,FLRN,30.73,"5,724,288",30.76,30.68
SPDR Bloomberg Scrd Cp Bd,CBND,31.52,"13,655",31.56,31.30
SPDR Bloomberg Mtg Bkd Bd,MBG,25.65,"89,883",25.66,25.46
SPDR Bloomberg 1-10Y TIPS,TIPX,19.19,"677,465",19.20,19.13
SPDR Bloomberg 1-3M TBill,BIL,91.55,"5,575,465",91.55,91.50
SPDR Bloomberg ST HY Bd,SJNK,27.37,"6,695,771",27.40,27.26
SPDR Bloomberg ST Int Tr,BWZ,33.08,"96,596",33.43,32.96
SPDR Bloomberg TIPS,IPE,55.76,"735,183",55.79,55.34
SPDR Citi Intl Gov Inf Bd,WIP,59.55,"176,301",59.61,58.98
SPDR DJ Intl Real Estate,RWX,40.02,"2,894,027",40.20,39.24
SPDR DJ REIT,RWR,86.14,"1,733,731",86.64,82.75
SPDR DoubleLine TR Tact,TOTL,47.97,"935,419",48.02,47.70
SPDR DJ Glbl Real Estate,RWO,46.27,"1,097,862",46.43,44.92
SPDR DJIA Tr,DIA,241.40,"27,671,586",244.26,236.85
SPDR EURO STOXX 50,FEZ,40.27,"21,460,510",40.44,39.37
SPDR EURO STOXX Small Cap,SMEZ,64.30,"16,942",64.41,63.50
SPDR FactSet Innov Tech,XITK,87.84,"19,318",91.50,85.59
SPDR Global Dow,DGT,84.27,"4,367",84.27,82.78
SPDR Gold Shares,GLD,125.79,"29,447,728",128.58,125.31
SPDR ICE BofAML Cross,CJNK,25.68,"20,467",25.80,25.51
SPDR Kensho Future Sec,XKFS,31.31,"4,418",31.68,30.88
SPDR Kensho Int Sftwr,XKII,29.42,"3,699",29.42,28.95
SPDR Kensho Smart Mob,XKST,29.31,"1,292",29.76,29.31
SPDR Long Dollar Gold Tr,GLDW,120.92,915,121.49,120.92
SPDR MFS Sys Core Equity,SYE,74.22,"19,795",74.80,72.50
SPDR MFS Sys Growth Equ,SYG,78.79,"17,292",79.75,77.41
SPDR MFS Sys Value Equity,SYV,64.82,"8,019",65.43,64.25
SPDR MSCI ACWI ex-US,CWI,38.85,"638,304",38.99,38.21
SPDR MSCI ACWI IMI,ACIM,78.20,"78,869",78.44,76.75
SPDR MSCI ACWI Low Carbon,LOWC,89.21,"5,719",89.72,88.26
SPDR MSCI CA Strategic,QCAN,56.69,"4,568",57.16,56.52
SPDR MSCI China A IMI,XINA,23.29,"16,207",23.59,23.26
SPDR EAFE Fossil Fuel Fr,EFAX,72.22,"4,872",72.23,71.41
SPDR MSCI EAFE Strat,QEFA,64.83,"51,169",65.08,63.64
SPDR EM Fossil Fuel Free,EEMX,71.07,579,71.07,70.56
SPDR MSCI EM Strategic,QEMM,65.55,"14,803",65.92,64.70
SPDR MSCI Germany Strat,QDEU,64.16,"3,508",64.22,63.02
SPDR MSCI Japan Strategic,QJPN,80.88,757,80.88,77.82
SPDR MSCI UK Strategic,QGBR,53.47,"2,169",53.47,53.04
SPDR MSCI USA Strat,QUS,76.45,"65,664",76.60,74.59
SPDR MSCI World Strat,QWLD,75.21,463,75.21,74.01
SPDR Nuveen Muni Bd,TFI,48.03,"1,672,481",48.03,47.75
SPDR Nuveen ST Muni Bd,SHM,47.82,"2,853,041",47.88,47.77
SPDR Nuv S&P; Hi Yd Mun Bd,HYMB,55.74,"123,383",55.94,55.30
SPDR NYSE Technology ETF,XNTK,88.93,"121,499",92.96,86.73
SPDR Portfolio Agg Bd,SPAB,28.16,"1,602,118",28.19,27.99
SPDR Portf Dev World xUS,SPDW,31.43,"1,736,321",31.55,30.82
SPDR Portfolio EM,SPEM,39.30,"839,762",39.55,38.36
SPDR Ptf Interm Corp Bd,SPIB,33.54,"2,353,147",33.56,33.37
SPDR Portfolio Large Cap,SPLG,30.94,"1,081,240",31.29,30.38
SPDR Portfolio LT Corp Bd,SPLB,27.27,"718,493",27.31,26.79
SPDR Portfolio LT Trea,SPTL,35.10,"504,389",35.18,34.49
SPDR Portfolio Mid Cap,SPMD,33.16,"708,402",33.32,32.54
SPDR S&P; 500 Value,SPYV,29.40,"1,426,773",29.56,28.84
SPDR S&P; 500 Growth,SPYG,33.52,"3,824,459",34.19,32.78
SPDR S&P; 500 Hi Div,SPYD,35.76,"1,653,672",35.85,34.86
SPDR Portfolio ST Corp Bd,SPSB,30.20,"3,527,885",30.20,30.13
SPDR Shrt Term Trea,SPTS,29.68,"563,526",29.69,29.63
SPDR Portfolio Small Cap,SPSM,29.92,"588,132",30.16,29.43
SPDR Ptf Total Stock Mkt,SPTM,32.82,"2,920,202",33.17,32.23
SPDR Russ 1000 Low Vol,ONEV,71.66,"4,917",71.66,70.32
SPDR Russ 1000 Momentum,ONEO,72.52,"37,373",72.96,71.11
SPDR Russ 1000 Yd Focus,ONEY,67.70,"8,294",67.70,67.03
SPDR SP1500 Momentum Tilt,MMTM,115.99,"5,638",118.00,113.01
SPDR S&P; 1500 Value Tilt,VLU,97.86,"3,046",99.10,97.86
SPDR S&P; 400 Mid Cap Gr,MDYG,157.43,"153,187",158.68,154.24
SPDR S&P; 400 Mid Cap Val,MDYV,99.47,"80,680",99.62,96.98
SPDR S&P; 600 Small Cap,SLY,132.99,"85,281",134.52,131.60
SPDR S&P; 600 SCp Gr,SLYG,232.58,"120,934",235.14,228.68
SPDR S&P; 600 SCap Val,SLYV,123.49,"488,480",124.26,121.51
SPDR Aero&Dfns;,XAR,86.87,"737,723",88.38,85.29
SPDR S&P; Bank,KBE,47.89,"10,986,120",48.57,46.81
SPDR S&P; Capital Markets,KCE,58.31,"53,466",59.02,57.02
SPDR Em Mkts Div ETF,EDIV,35.45,"171,016",35.73,34.76
SPDR S&P; Emerg Mkts SC,EWX,52.49,"169,286",52.70,51.52
SPDR S&P; 500 Buyback ETF,SPYB,61.50,"20,326",62.33,60.82
SPDR S&P; 500 Fossil Fuel,SPYX,64.39,"33,544",64.86,63.24
SPDR S&P; Gl Dividend,WDIV,68.79,"40,587",68.93,67.43
SPDR S&P; Gl Infr,GII,49.25,"47,438",49.25,48.32
SPDR S&P; Glbl Nat Rscs,GNR,48.38,"1,080,043",48.77,47.51
SPDR Hlth Cr Eqp,XHE,69.74,"123,232",70.37,68.50
SPDR S&P; Hlth Care Svcs,XHS,63.00,"71,515",63.29,62.04
SPDR S&P; Insurance,KIE,31.02,"2,436,401",31.18,30.48
SPDR S&P; Intl Dividend,DWX,40.07,"435,309",40.16,39.21
SPDR S&P; Internet ETF,XWEB,76.22,"7,444",79.09,75.15
SPDR S&P; MidCap 400 ETF,MDY,341.73,"6,844,647",343.38,334.89
SPDR S&P; N Amer Nat Rscs,NANR,33.59,"90,249",33.83,32.76
SPDR S&P; Oil&Gas; Equi,XES,14.56,"4,406,142",15.21,14.13
SPDR S&P; Regional Bkg,KRE,60.39,"23,949,675",61.33,58.98
SPDR S&P; Software&Svcs;,XSW,75.60,"15,204",77.70,74.01
SPDR S&P; Tech Hardware,XTH,72.08,"1,278",72.91,70.00
SPDR S&P; Telecom,XTL,68.88,"374,465",70.26,67.87
SPDR S&P; Transportation,XTN,62.80,"45,725",63.21,61.17
SPDR S&P; 500,SPY,263.15,"522,531,730",266.77,258.58
SPDR S&P; Biotech,XBI,87.73,"25,282,539",91.72,84.95
SPDR S&P; China,GXC,110.69,"314,646",112.71,107.81
SPDR S&P; Dividend,SDY,91.20,"2,799,172",91.54,89.16
SPDR S&P; Emerg Asia Pac,GMF,106.64,"28,857",107.81,104.89
SPDR S&P; Homebuilders,XHB,40.79,"10,022,276",41.08,40.07
SPDR S&P; Intl Small Cap,GWX,35.39,"231,426",35.48,34.73
SPDR S&P; Metals&Mining;,XME,34.04,"12,843,608",34.58,32.81
SPDR S&P; O&G; Exp&Prd;,XOP,35.22,"56,127,057",35.48,34.11
SPDR S&P; Pharmaceuticals,XPH,41.87,"234,683",42.06,40.88
SPDR S&P; Retail,XRT,44.30,"24,603,261",44.45,43.23
SPDR S&P; Semiconductor,XSD,70.06,"616,917",73.08,68.41
SPDR Gender Diversity,SHE,70.09,"18,641",70.50,68.67
SPDR SSgA Glbl Allocation,GAL,38.12,"76,006",38.17,37.58
SPDR SSgA Incm Allocation,INKM,33.03,"8,059",33.03,32.51
SPDR SSgA Multi-Asset RR,RLY,25.96,"123,972",26.03,25.66
SPDR SSgA Ultra Shrt,ULST,40.23,"82,100",40.26,40.22
SPDR SSGA US LC Low Vol,LGLV,90.07,"23,718",90.63,88.29
SPDR SSGA US SC Low Vol,SMLV,88.76,"19,198",89.21,87.26
SPDR STOXX Europe 50,FEU,34.64,"126,227",34.70,34.01
SPDR Wells Fargo Pfd,PSK,43.45,"162,950",43.45,43.17
Special Opp Fund,SPE,14.74,"76,264",14.79,14.55
Special Opps Fd Pfd. B,SPE.PB,25.60,"17,175",26.06,25.58
Spectra Energy Partners,SEP,33.64,"3,602,367",33.72,32.17
Spectrum Brands Holdings,SPB,103.70,"3,733,640",104.37,89.36
Speedway Motorsports,TRK,17.82,"175,254",18.57,17.71
Spinnaker Dyn LC Gr,FMDG,29.15,"9,852",29.73,28.51
Spin Field UVA Uncons Med,FFIU,24.45,"17,841",24.50,24.38
Spire,SR,72.30,"1,105,439",72.50,68.50
Spirit AeroSystems Cl A,SPR,83.70,"3,036,468",86.05,81.74
Spirit Airlines,SAVE,37.78,"8,473,303",40.45,36.77
Whiskey&Spirits; ETF,WSKY,32.81,"9,714",33.37,32.09
Spirit Realty Capital,SRC,7.76,"24,847,276",7.88,7.53
Spirit Realty 6% Pfd A,SRC.PA,21.73,"111,611",22.47,21.00
Sprague Resources,SRLP,23.85,"87,081",24.25,23.50
Sprint Corp.,S,4.88,"40,569,250",5.04,4.81
Sprott Gold Miners ETF,SGDM,19.61,"89,504",20.02,19.28
Sprott Jr Gold Miners ETF,SGDJ,29.95,"98,511",31.58,29.62
Sprott Physical Gold,CEF,13.22,"4,687,340",13.60,13.16
Sprott Physical Gold Tr,PHYS,10.75,"2,813,547",11.01,10.72
Sprott Physical Platinum,SPPP,8.53,"55,075",8.80,8.50
Sprott Physical Silver Tr,PSLV,6.04,"2,815,959",6.15,6.00
SPX Corp,SPXC,32.48,"1,209,181",32.61,31.56
SPX FLOW,FLOW,49.19,"940,099",51.09,48.38
Square Cl A,SQ,49.20,"70,599,607",55.15,46.14
Stage Stores,SSI,2.18,"727,812",2.22,2.14
STAG Industrial,STAG,23.92,"2,667,947",24.24,23.02
STAG Industrial Pfd. B,STAG.PB,25.11,"19,502",25.13,24.92
STAG Ind 6.875% Pfd. C,STAG.PC,25.40,"14,304",25.54,25.31
Standard Motor Products,SMP,47.57,"358,889",47.98,45.57
Standex Intl,SXI,95.35,"189,821",98.60,93.15
Stanley Black&Decker; Db,SWJ,25.18,"103,385",25.31,25.05
Stanley Black&Decker;,SWK,153.20,"4,357,537",156.80,150.16
Stanley Black&Decker; Un,SWP,114.55,"180,062",117.22,114.55
Stantec,STN,24.65,"105,552",24.80,24.05
